-60,21
57,66
-75,7
27,4
-2,91
-84,93
-90,99
40,21
-85,83
74,18
-88,35
-36,11
-57,75
22,03
64,79
-63,26
-21,89
2,26
93,39
-31,53
18,38
-59,43
-39,68
98,77
64,69
45,81
9,85
2,39
-95,51
58,07
-28,91
28,12
30,63
-26,79
-26,02
-5,37
-44,03
-62,64
-22,34
-90,94
-69,64
75,74
-85,74
-77,64
-27,03
96,59
10,79
90,83
-3,83
-5,83
-32,43
73,85
15,93
64,07
-56,2
-34,35
18,88
-60,53
29,1
32,34
-12,38
58,81
64,37
5,38
73,71
83,36
-83,58
-31,16
-48,58
97,45
7,52
-29,87
-14,17
-55,57
54,57
82,44
5,2
-21,43
-17,88
-47,74
-19,99
45,7
39,3
76,17
-19,53
44,96
72,68
-31,23
9,05
-30,65
85,54
6,89
86,24
74,69
48,61
65,65
-94,5
-15,61
17,95
97,33
