-52,82
-2,09
22,13
-83,01
85,57
-60,51
-76,65
12,95
-85,06
-99,51
57,44
-14,47
-8,37
84,15
97,09
93,78
-13,85
-96,06
-95,61
-34,67
-13,61
-1,18
69,16
98,04
35,6
-14,27
53,12
1,77
47,33
85,27
70,59
-53,56
5,72
68,32
5,58
-78,26
-18,84
-11,66
-10,16
59,32
-30,05
87,82
-51,58
20,18
-98,84
97,24
56,61
-92,11
-55,51
81,16
46,29
-67,55
-99,76
28,13
49,71
-79,56
-44,32
-69,95
-24,61
43,33
51,75
-48,59
73,44
19,37
-80,23
49,84
-33,6
-66,57
-79,97
76,93
-2,86
-85,33
-57,73
-38,12
76,66
13,84
12,81
60,37
-97,71
-70,14
93,86
-62,72
60,92
-50,31
57,44
-55,89
-68,18
-14,04
-30,03
-49,27
60,32
-76,47
32,95
95,91
-13,88
19,39
-9,09
32,29
-20,96
39,18
